127.0.0.1, 2014-07-21 22:10:18, GET, /, HTTP/1.1, 303, 0.002664
127.0.0.1, 2014-07-21 22:10:19, GET, /welcome/default/index, HTTP/1.1, 200, 0.250761
127.0.0.1, 2014-07-21 22:10:19, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001465
127.0.0.1, 2014-07-21 22:10:19, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.003352
127.0.0.1, 2014-07-21 22:10:19, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001563
127.0.0.1, 2014-07-21 22:10:19, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000649
127.0.0.1, 2014-07-21 22:10:19, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.002177
127.0.0.1, 2014-07-21 22:10:19, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.005450
127.0.0.1, 2014-07-21 22:10:19, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.004054
127.0.0.1, 2014-07-21 22:10:19, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000826
127.0.0.1, 2014-07-21 22:10:19, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000705
127.0.0.1, 2014-07-21 22:10:19, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000813
127.0.0.1, 2014-07-21 22:10:19, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000717
127.0.0.1, 2014-07-21 22:10:19, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001916
127.0.0.1, 2014-07-21 22:10:19, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000719
127.0.0.1, 2014-07-21 22:10:19, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000713
127.0.0.1, 2014-07-21 22:10:19, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001802
127.0.0.1, 2014-07-21 22:10:19, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000522
127.0.0.1, 2014-07-21 22:10:43, GET, /listemAlpha, HTTP/1.1, 500, 3.819485
127.0.0.1, 2014-07-21 22:10:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000435
127.0.0.1, 2014-07-21 22:10:47, GET, /admin/default/ticket/listemAlpha/127.0.0.1.2014-07-21.22-10-40.b360f57f-9b46-4d2b-b093-637c4f098b16, HTTP/1.1, 303, 0.092090
127.0.0.1, 2014-07-21 22:10:47, GET, /admin/default/index, HTTP/1.1, 200, 0.062215
127.0.0.1, 2014-07-21 22:10:47, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000804
127.0.0.1, 2014-07-21 22:10:47, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000726
127.0.0.1, 2014-07-21 22:10:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000445
127.0.0.1, 2014-07-21 22:10:49, POST, /admin/default/index, HTTP/1.1, 303, 0.036827
127.0.0.1, 2014-07-21 22:10:49, GET, /admin/default/ticket/listemAlpha/127.0.0.1.2014-07-21.22-10-40.b360f57f-9b46-4d2b-b093-637c4f098b16, HTTP/1.1, 200, 0.053800
127.0.0.1, 2014-07-21 22:10:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000448
127.0.0.1, 2014-07-21 22:11:31, GET, /admin/default/index, HTTP/1.1, 303, 0.006116
127.0.0.1, 2014-07-21 22:11:31, GET, /admin/default/site, HTTP/1.1, 200, 0.062711
127.0.0.1, 2014-07-21 22:11:32, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001084
127.0.0.1, 2014-07-21 22:11:32, GET, /admin/static/images/questions.png, HTTP/1.1, 304, 0.000819
127.0.0.1, 2014-07-21 22:11:32, POST, /admin/default/check_version, HTTP/1.1, 200, 0.328360
127.0.0.1, 2014-07-21 22:11:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000532
127.0.0.1, 2014-07-21 22:11:57, GET, /listemAlpha/default, HTTP/1.1, 200, 7.534693
127.0.0.1, 2014-07-21 22:12:06, GET, /listemAlpha/display_form/display_form, HTTP/1.1, 404, 1.632796
127.0.0.1, 2014-07-21 22:12:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000323
127.0.0.1, 2014-07-21 22:12:20, GET, /listemAlpha/default, HTTP/1.1, 200, 10.858949
127.0.0.1, 2014-07-21 22:13:41, GET, /, HTTP/1.1, 303, 0.003175
127.0.0.1, 2014-07-21 22:13:42, GET, /welcome/default/index, HTTP/1.1, 200, 0.118809
127.0.0.1, 2014-07-21 22:13:42, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000616
127.0.0.1, 2014-07-21 22:13:42, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.002285
127.0.0.1, 2014-07-21 22:13:42, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001919
127.0.0.1, 2014-07-21 22:13:42, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000591
127.0.0.1, 2014-07-21 22:13:42, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.004502
127.0.0.1, 2014-07-21 22:13:42, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.001015
127.0.0.1, 2014-07-21 22:13:42, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001800
127.0.0.1, 2014-07-21 22:13:42, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.006179
127.0.0.1, 2014-07-21 22:13:42, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000554
127.0.0.1, 2014-07-21 22:13:42, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000627
127.0.0.1, 2014-07-21 22:13:42, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000597
127.0.0.1, 2014-07-21 22:13:42, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001902
127.0.0.1, 2014-07-21 22:13:42, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000679
